x1,y1,x2,y2
-7,0,-4,-0.25
-6.75,0,-3.75,-0.25
-6.5,0,-3.5,-0.25
-6.25,0,-3.25,-0.25
-6,0,-3,-0.25
-5.75,0,-2.75,-0.259091
-5.5,0,-2.5,-0.27
-5.25,0,-2.25,-0.283333
-5,0,-2,-0.3
-4.75,0,-1.75,-0.321429
-4.5,0,-1.5,-0.35
-4.25,0,-1.25,-0.39
-4,0,-1,-0.45
-3.75,0,-0.75,-0.55
-3.5,0,-0.5,-0.75
-3.25,0,-0.352941,-1
-3,0,-0.272727,-1.25
-2.76,0,-0.222222,-1.5
-2.53,0,-0.1875,-1.75
-2.31,0,-0.162162,-2
-2.1,0,-0.142857,-2.25
-1.9,0,-0.12766,-2.5
-1.71,0,-0.115385,-2.75
-1.53,0,-0.105263,-3
-1.36,0,-0.1,-3.25
-1.2,0,-0.1,-3.5
-1.05,0,-0.1,-3.75
-0.91,0,-0.1,-4
-0.78,0,-0.1,-4.25
-0.66,0,-0.1,-4.5
-0.55,0,-0.1,-4.75
-0.45,0,-0.1,-5
-0.360001,0,-0.1,-5.25
-0.280001,0,-0.1,-5.5
-0.210001,0,-0.1,-5.75
-0.150001,0,-0.1,-6
-0.100001,0,-0.1,-6.25
-0.0600008,0,-0.1,-6.5
-0.0300008,0,-0.1,-6.75
-0.0100009,0,-0.1,-7
-9.20147e-07,0,-0.1,-7.25
-9.20147e-07,0,-0.1,-7.5
-9.20147e-07,0,-0.1,-7.75
-9.20147e-07,0,-0.1,-8
-9.20147e-07,0,-0.1,-8.25
