x1,y1,x2,y2
-6,1,-3,0.75
-5.75,1,-2.75,0.75
-5.5,1,-2.5,0.75
-5.25,1,-2.25,0.75
-5,1,-2,0.75
-4.75,1,-1.69098,0.701057
-4.5,1,-1.41221,0.559017
-4.25,1,-1.19098,0.337785
-4,1,-1.04894,0.059017
-3.75,1,-1,-0.25
-3.5,1,-1.04894,-0.559017
-3.25,1,-1.19098,-0.837785
-3,1,-1.41221,-1.05902
-2.75,1,-1.69098,-1.20106
-2.5,1,-2,-1.25
-2.25,1,-2.25,-1.25
-2,1,-2.5,-1.25
-1.75,1,-2.75,-1.25
-1.5,1,-3,-1.25
-1.25,1,-3.25,-1.25
-1,1,-3.5,-1.25
-0.75,1,-3.75,-1.25
-0.5,1,-4,-1.25
-0.25,1,-4.25,-1.25
0,1,-4.5,-1.25
0.25,1,-4.75,-1.25
0.5,1,-5,-1.25
0.75,1,-5.25,-1.25
1,1,-5.5,-1.25
1.25,1,-5.75,-1.25
1.5,1,-6,-1.25
1.75,1,-6.25,-1.25
2,1,-6.5,-1.25
2.25,1,-6.75,-1.25
2.5,1,-7,-1.25
2.75,1,-7.25,-1.25
3,1,-7.5,-1.25
