x1,y1,x2,y2
-7,0,-4,-0.25
-6.75,0,-3.75,-0.25
-6.5,0,-3.5,-0.25
-6.25,0,-3.25,-0.25
-6,0,-3,-0.25
-5.75,0,-2.75,-0.259091
-5.5,0,-2.5,-0.27
-5.25,0,-2.25,-0.283333
-5,0,-2,-0.3
-4.75,0,-1.75,-0.321429
-4.5,0,-1.5,-0.35
-4.25,0,-1.25,-0.39
-4,0,-1,-0.45
-3.75,0,-0.75,-0.55
-3.5,0,-0.5,-0.75
-3.25,0,-0.352941,-1
-3,-1.38778e-17,-0.272727,-1.25
-2.75,0.00909091,-0.222222,-1.5
-2.5,0.02,-0.1875,-1.75
-2.25,0.0333333,-0.162162,-2
-2,0.05,-0.142857,-2.25
-1.75,0.0714286,-0.12766,-2.5
-1.5,0.1,-0.115385,-2.75
-1.25,0.14,-0.105263,-3
-1,0.2,-0.1,-3.25
-0.75,0.3,-0.1,-3.5
-0.5,0.5,-0.1,-3.75
-0.352941,0.75,-0.1,-4
-0.272727,1,-0.1,-4.25
-0.222222,1.25,-0.1,-4.5
-0.1875,1.5,-0.1,-4.75
-0.162162,1.75,-0.1,-5
-0.142857,2,-0.1,-5.25
-0.12766,2.25,-0.1,-5.5
-0.115385,2.5,-0.1,-5.75
-0.105263,2.75,-0.1,-6
-0.0967742,3,-0.1,-6.25
