x1,y1,x2,y2
-7,0,-4,0.25
-6.75,0,-3.75,0.25
-6.5,0,-3.5,0.25
-6.25,0,-3.25,0.25
-6,0,-3,0.25
-5.75,0,-2.75,0.240909
-5.5,0,-2.5,0.23
-5.25,0,-2.25,0.216667
-5,0,-2,0.2
-4.75,0,-1.75,0.178571
-4.5,0,-1.5,0.15
-4.25,0,-1.25,0.11
-4,0,-1,0.05
-3.75,0,-0.75,-0.05
-3.5,0,-0.5,-0.25
-3.25,0,-0.352941,-0.5
-3,0,-0.272727,-0.75
-2.75,0,-0.222222,-1
-2.5,0,-0.1875,-1.25
-2.25,0,-0.162162,-1.5
-2,0,-0.142857,-1.75
-1.75,0,-0.12766,-2
-1.5,0,-0.115385,-2.25
-1.25,0,-0.105263,-2.5
-1,0,-0.1,-2.75
-0.75,0,-0.1,-3
-0.5,0,-0.1,-3.25
-0.25,0,-0.1,-3.5
0,0,-0.1,-3.75
0.25,0,-0.1,-4
0.5,0,-0.1,-4.25
0.75,0,-0.1,-4.5
1,0,-0.1,-4.75
1.25,0,-0.1,-5
1.5,0,-0.1,-5.25
1.75,0,-0.1,-5.5
2,0,-0.1,-5.75
2.25,0,-0.1,-6
2.5,0,-0.1,-6.25
2.75,0,-0.1,-6.5
3,0,-0.1,-6.75
3.25,0,-0.1,-7
3.5,0,-0.1,-7.25
3.75,0,-0.1,-7.5
4,0,-0.1,-7.75
