x1,y1,x2,y2
-7,0,-4,2
-6.75,0,-3.75,2
-6.5,0,-3.5,2
-6.25,0,-3.25,2
-6,0,-3,2
-5.75,0,-2.75,1.99091
-5.5,0,-2.5,1.98
-5.25,0,-2.25,1.96667
-5,0,-2,1.95
-4.75,0,-1.75,1.92857
-4.5,0,-1.5,1.9
-4.25,0,-1.25,1.86
-4,0,-1,1.8
-3.75,0,-0.75,1.7
-3.5,0,-0.5,1.5
-3.25,0,-0.352941,1.25
-3,0,-0.272727,1
-2.75,0,-0.222222,0.75
-2.5,0,-0.1875,0.5
-2.25,0,-0.162162,0.25
-2,0,-0.142857,0
-1.75,0,-0.12766,-0.25
-1.5,0,-0.115385,-0.5
-1.25,0,-0.105263,-0.75
-1,0,-0.1,-1
-0.75,0,-0.1,-1.25
-0.5,0,-0.1,-1.5
-0.25,0,-0.1,-1.75
0,0,-0.1,-2
0.25,0,-0.1,-2.25
0.5,0,-0.1,-2.5
0.75,0,-0.1,-2.75
1,0,-0.1,-3
1.25,0,-0.1,-3.25
1.5,0,-0.1,-3.5
1.75,0,-0.1,-3.75
2,0,-0.1,-4
2.25,0,-0.1,-4.25
2.5,0,-0.1,-4.5
2.75,0,-0.1,-4.75
3,0,-0.1,-5
3.25,0,-0.1,-5.25
3.5,0,-0.1,-5.5
3.75,0,-0.1,-5.75
4,0,-0.1,-6
